N°,Tile description
170,Cave with mushrooms and fungus
171,Cave with mushrooms
172,Cave with mushrooms
173,Cave with mushrooms
174,Cave with mushrooms
175,Cave with mushrooms and fungus
176,Cave corridor with mushrooms
177,"Cave corridor with mushrooms and fungus/ A hole is buried in the
walls"
178,Cave corridor with mushrooms
179,"Cave corridor with mushrooms. One grid in the corridor an 2 grids
buried in the walls"
180,Cave corridor with mushrooms
181,Corridor with descending stairs
182,Corridor with climbing stairs
183,Room with Great climbing stair
184,"Room with an obelisk, columns and great climbing stairs"
185,room with magical drawing and great descending stairs
186,"Room with columns and strange pavements with great
descending stairs"
187,room with fountain and circular climbing stairs
188,Room with circular descending stairs
189,Corridor with climbing stairs
190,Corridor with descending stairs
191,Corridor with climbing stairs
192,Corridor with descending stairs
193,Corridor with climbing stairs
194,Corridor with descending stairs
195,Separate rooms with climbing and descending stairs
196,Room with magical portal
197,Room with magical portal
198,Room with magical portal
199,Room with magical portal
200,Room with magical portal
201,Corridor with climbing stairs
202,Corridor with descending stairs
203,Corridor with climbing stairs
204,Corridor with descending stairs
205,Corridor with climbing stairs
206,Corridor with descending stairs
207,Corridor with climbing stairs
208,Corridor with descending stairs
209,Corridor with climbing stairs
210,Corridor with descending stairs
211,Opened room with grid
212,Opened room with 2 columns
213,Opened room with bull head drawing
214,Opened room with barrels
215,Opened room with a fist drawing
216,Opened room with a fountain (or little basin)
217,opened room
218,Opened room with columns and snake drawing
219,Opened room with 4 little chests
220,Opened room with a trapdoor on the ground
221,Opened room
222,Opened room with pillars
223,Opened room
224,Opened room with 4 columns and « viking style » dragon drawing
225,opened room
226,Room with the biggest treasure ever seen and an iron door
227,Room with 9 chests and a stone door
228,"Jail with 4 cells, grids on the floor and « beds » in the cell. Cell are
closed by railings"
229,"Jail with 4 cells, grids on the floor and « beds » in the cell. Cell are
closed by railings. There is a hole in a black room, closed by a
door"
230,"Jail with 3 cells (one is bigger than the other), grids on the floor
and « beds » in the cell. Cell are closed by railings"
231,"Room with an altar (some blood on altar and on the floor), a
deamon statue and columns"
232,"Throne room with columns and chairs a carpet is on the ground
behind the platform of the throne"
233,Opened room with skull drawing
234,Opened room with castle and swords drawing
235,Opened room with ecu shield drawing
236,Opened room with magical drawing (like a mandala)
237,Opened room with 4 columns and a diamond drawing
238,Opened room with lion head drawing
239,Opened room with dragon head room
240,Opened room with temple front drawing
241,Sewer exiting from the wall
242,Sewer with a wooden bridge
243,Sewer with a barrel floating
244,sewer
245,sewer
246,sewer
247,sewer
248,Sewer cross with 3 bridges
249,sewer
250,Sewer with wooden bridge
251,sewer
252,Sewer (basin)
253,sewer
254,Sewer with a grid on the floor
255,Sewer with a wooden bridge
256,sewer with a grid at the center and a barrel on the floor
257,Sewer with a box
258,"Sewer with 2 bridges going on a central plateform and an
amphora"
259,sewer with barrels (on floating and one on the ground)
260,sewer with barrels (two floating and one on the ground)
261,sewer
262,Sewer with a chest
263,Sewer with wooden bridge and an amphora
264,Sewer with wooden planks like a « bridge »
265,Sewer (one part exiting from the wall) and on barrel
266,Sewer with one plank used to make a bridge
267,"sewer with water exiting from a pipeline. One open seat box
seems to be the « house » of a creature"
268,Sewer with little boxes and barrel
269,Sewer with a barrel floating
270,Sewer with 2 pipelines dumping water
271,"Sewer with climbing stairs and a pipeline in exiting from the
wall"
272,"Sewer basin with 3 grid, one trap (with peaks) and a small iron
chest"
273,Sewer with 4 grids
274,Sewer basin with a whirlpool
275,Sewer with a grid and descending stairs
276,"Sewer with a box and 2 stairs (one is descending, the other is
climbing)"
277,Sewer with 2 bridges and a grid on the floor
278,Sewer with barrels
279,"Sewer with a barrel. One plateform is at the center of water
with a little box. A creature like an octopus is swimming"
280,Sewer with a rope bridge
281,Sewer with a grid on the floor
282,Dead end sewer
283,sewer with a grid on the floor and a box
284,sewer
285,"Sewer with a wooden bridge, a barrel and a sword. Dead end
sewer is placed at the bottom of the tile."
286,Cave with climbing stairs
287,Cave with an abyss
288,Abyss in a room
289,Abyss with a rope bridge
290,abyss
291,abyss
292,Abyss with a rope bridge
293,abyss
294,abyss
295,abyss
296,abyss
297,abyss
298,abyss
299,abyss
300,abyss
301,Abyss with mushrooms
302,abyss
303,"abyss with little stones making a circle, a sword and rope
bridge"
304,Abyss with a little magical portal
305,abyss
306,abyss
307,abyss in front of a cave wall
308,Abyss crossed by a natural stone bridge
309,Cave with climbing stairs
310,Abyss with a magical portal
311,Abyss with a tentacle exiting form the darkness
312,abyss
313,Abyss
314,abyss
315,Abyss with a box and a barrel
316,"Abyss with a chest and some gold in front of a fractured
ground"
317,Abyss with a fracture on the ground
318,Abyss with very fractured ground and mushrooms
319,"Abyss with very fractured ground making a new hole. One
barrel is near the fractured ground"
320,Little path between 2 abysses
321,Abyss with fungus
322,Abyss with fungus
323,Abyss with fungus
324,Large abyss with half of a rope bridge
325,Large abyss with half of a rope bridge (with a barrel)
326,Circular abyss with 2 tentacles exiting from darkness
327,Abyss with a great splash
328,"Abyss with stairs climbing in the cave wall. A barrel is placed at
the vicinity of stairs"
329,Magical portal between 2 abysses
330,Abyss with a « bridge » make with planks
331,abyss
332,"Begining or ending of abyss. Skeleton of a bug creature like a
lizard"
333,Cave
334,Cave corridor
335,Cave corridor
336,"Cave with a bed, a chest, a box and 3 barrels"
337,"Cave corridor with some branches on the ground (a trap ?) In
the cave walls the is the skull of a giant monster"
338,Cave corridor withe a grid
339,"Cave (2 rooms separated by a wooden wall) with table, chairs,
chest and barrels"
340,Cave corridor with stairs
341,"Cave with table, chairs, boxes and barrels"
342,"Cave with barrels, a box and a strange stone with peaks"
343,cave corridors
344,Cave corridors
345,"Cave with bed table, chairs, 2 chests, on box and 2 barrels. A
grid is in the ground at the center"
346,Cave with a chest
347,Cave with a table dans chairs
348,"Cave with a hole, a lot of branches, a chest after passing
planks (like a trap)"
349,"Corridors with 2 holes, and a barrel"
350,corridor
351,cave with a box and a big barrel
352,Cave with a small chest and 2 small barrels
353,"Cave corridors with traps (some peaks exiting form the walls,
branches, special « stone » on the floor ). A little cage is in a
dead end and there is a barrel"
354,"Cave with a bed, a chest and a wooden trap door"
355,Cave with a barrel and a box
356,"Cave with one hole, a barrel and a chest"
357,Cave with some branches
358,Cave with a square hole
359,Cave with a natural hole
360,"Cave with a bed, a tables with chairs, 2 boxes and 2 barrels"
361,Opened room with shelves and fire in the center
362,Throne room with a carpet and 2 columns
363,"Opened room with shelves, long tables and stools"
364,"Opened room with tables, chairs and barrels"
365,Crypt with a coffin on a stone table
366,Crypt with a sarcophagus and 2 columns
367,"Torture room with a rack, table with tools, brasier, barrel and
other horrible things"
368,Room with little barrels and boxes
369,"Room with columns, a monster god statue and sorcerer table"
370,Room with columns and a 2 brasiers
371,Corridor between two opened rooms
372,"Room with statues and a skeleton between them … trap in the
statues ?"
373,Room with statues
374,"Sorcerer room with brassiere shelves, table with potions and
candles, table with a spell book"
375,"Library with shelves, armchair and table with a strange book"
376,Dead end corridor
377,Dead end corridor
378,Dead end corridor
379,Full opened room
380,Full opened room
381,Full opened room
382,Full opened room with a little grid on the floor
383,Full opened room
384,Full opened room
385,Full opened room
386,Full opened room
387,Full opened room
388,Full opened room
389,Full opened room with a little grid on the floor
390,Full opened room
391,"Opened rooms with states and some stone circles on the floor
(2 metal grids seems to be able to drop poison or smoke)"
392,"Opened rooms with states and some stone circles on the floor
(a metal grid seems to be able to drop poison or smoke)"
393,"opened room with a blood basin with strange decorations like
insects,2 statues of humanoid creature and a great statue of a
strange creature. There is a rectangular grid in front of the
basin."
394,"Opened room with a sacrificial altar on a platform. Stone table
with a book and candles at the back of the room"
395,"Circular room with a mechanical system to turn corridor
(closed)"
396,"Circular room with a mechanical system to turn corridor
(opened)"
397,"Breaking room with stones, columns"
398,"Breaking room with stones, columns"
399,"Breaking room with stones, columns"
400,"Breaking room with stones, columns"
401,Maze room
402,"Maze room with a grid, box and barrels"
403,Maze room with a grid
404,Maze room
405,Maze room with a grid
406,Kitchen room
407,Apothecary workshop
408,3 clay graves
409,Room like an ossuary
410,"Guard room with a weapon rack, shelve, barrel a round table
with 4 chairs (to play or to eat) and one table/chair with a
register"
411,Corridor blocked by stones
412,Cooridor blocked by stones (with a deamon skull in the walls)
413,"Training room (archers target, wooden dummies, weapons
rack, barrels, … )"
414,Chess room with chessmen
415,Chess room with chessmen
416,"Circular Room with a chest . Walls seems to have a circular
move (opened)"
417,"Circular Room with a chest . Walls seems to have a circular
move (closed)"
418,Magic hole. Table and chairs are floating above the hole
419,"2 separates rooms with a chimney on the both sides of the
separation wall. One box in a room and one little barrel in the
other"
420,Latrines with a barrel
421,Room with a giant creature in a hole
422,Blacksmith roof
423,Observatory with an armillary sphere and a great telescope
424,Little river exiting from a wall with rope bridge
425,River
426,"Sacrifia altar with a spider statue and columns. Some gutters
are full of dry blood"
427,"A shop with table, boxes, shelves and barrels"
428,An iced room
429,"A council rool with a big table, chairs, columns and 2
chimneys"
430,"A long room (double door is opened) with carpet at the center,
columns and statues"
431,Cooridor with a little room
432,room with a basin and 3 statues
433,Archers training room
434,An old rotten wooden bridge passing over a room
435,Corridor with a rotating stone mechanical system
436,A great basin in an opened room
437,River
438,River with a pontoon
439,"River with box, barrel and floating barrel"
440,End of a river with broken pontoon
441,Corridors
442,River with 2 alligators fighting
443,Room with 12 doors and a central big pillar
444,"2 separates rooms. 2 holes (grids have been removed) are
connecting this rooms"
445,An opened jail
446,A square cage in a big room
447,A circular cage with opened door in a room
448,A corridor passing below an other corridor
449,Corridor with coffins in alcolves
450,Corridor with coffins in alcolves
451,Room with a giant pillar
452,Room with a basin full of a black liquid
453,Room with a basin full of a black liquid
454,Corridor with a hole. Tantacles are exiting from it
455,Cooridor with some planks
456,Room with a sarcophagus
457,"Corridor with a grid and some strange stones exiting from the
walls"
458,Room with a giant gearwheel system and a lever on the wall
459,Room with coffins
460,"Room with picks in a pit wich is separating the access from 2
chests."
461,Basic corridor
462,Basic corridor
463,Basic corridor
464,Basic corridor
465,Basic corridor
466,Basic room
467,Basic room
468,Basic room
469,Basic - 2 separate corridors
470,Basic corridor
471,Basic corridor
472,Basic room
473,Basic room
474,Basic room
475,Basic - 2 separate dead end corridors
476,Basic - dead end corridor
477,Basic room (little with corridors)
478,Basic room
479,Basic corridor
480,Basic opened room
